"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT07","WT08"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-16","2.91",,"0.00","0.0","0.0",,"84","52","   10","  120","8.1","11.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-17","2.46",,"0.00","0.0","0.0",,"85","52","  120","  160","10.1","14.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-18","2.91",,"0.00","0.0","0.0",,"80","56","  260","  240","12.1","15.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-19","0.89",,"0.00","0.0","0.0",,"79","55","   10","   60","6.0","8.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-20","2.01",,"0.00","0.0","0.0",,"83","49","  260","  220","8.9","12.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-21","1.79",,"0.00","0.0","0.0",,"82","50","  270","  270","8.9","13.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-22","4.92",,"0.00","0.0","0.0",,"81","50","  260","  250","19.9","29.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-23","5.82",,"0.00","0.0","0.0",,"71","53","   40","   50","18.1","23.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-24","4.47",,"0.00","0.0","0.0",,"74","48","   30","  170","13.0","16.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-25","2.01",,"0.00","0.0","0.0",,"82","47","  210","  190","8.1","11.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-26","1.57",,"0.00","0.0","0.0",,"86","52","  230","  190","8.1","8.9",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-27","2.24",,"0.00","0.0","0.0",,"84","51","  230","  250","8.9","12.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-28","2.46",,"0.00","0.0","0.0",,"83","51","  230","  240","8.9","13.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-02-29","2.24",,"0.00","0.0","0.0",,"84","55","  230","  240","8.9","13.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-01","1.79",,"0.00","0.0","0.0",,"85","54","  260","  150","8.1","11.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-02","3.13",,"0.00","0.0","0.0",,"86","54","  260","  200","10.1","15.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-03","1.34",,"0.00","0.0","0.0",,"86","55","  190","  180","8.1","10.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-04","1.79",,"0.00","0.0","0.0",,"85","54","  190","  100","8.9","13.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-05","2.01",,"0.00","0.0","0.0",,"79","55","  140","  120","8.1","12.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-06","4.92",,"0.00","0.0","0.0",,"77","61","  270","  250","16.1","23.9",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-07","5.37",,"0.00","0.0","0.0",,"67","50","  260","  230","17.0","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-08","3.13",,"0.00","0.0","0.0",,"70","49","  240","  330","12.1","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-09","1.57",,"0.00","0.0","0.0",,"78","49","  220","  240","10.1","14.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-10","1.79",,"0.00","0.0","0.0",,"83","51","  210","  200","10.1","13.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-11","2.91",,"0.00","0.0","0.0",,"84","52","  250","  260","12.1","15.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-12","6.71",,"0.00","0.0","0.0",,"69","53","  240","  240","23.0","35.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-13","2.01",,"0.00","0.0","0.0",,"75","47","  290","  200","8.9","15.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-14","2.91",,"0.00","0.0","0.0",,"76","54","  270","  250","14.1","18.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-15","2.68",,"0.00","0.0","0.0",,"84","54","  230","  220","13.0","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-16","2.91",,"0.00","0.0","0.0",,"85","53","  170","  200","10.1","14.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-17","2.68",,"0.00","0.0","0.0",,"86","53","  240","  240","13.0","16.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-18","2.68",,"0.00","0.0","0.0",,"86","52","  240","  240","14.1","18.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-19","2.01",,"0.00","0.0","0.0",,"87","56","  290","  270","8.9","14.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-20","2.68",,"0.00","0.0","0.0",,"89","58","  140","  140","13.0","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-21","3.13",,"0.00","0.0","0.0",,"89","57","  240","  250","15.0","19.9",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-22","6.49",,"0.00","0.0","0.0",,"79","63","  240","  240","19.9","28.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-23","7.38",,"0.00","0.0","0.0",,"75","54","  260","  360","17.0","25.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-24","3.13",,"0.00","0.0","0.0",,"78","47","  230","  260","12.1","15.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-25","4.03",,"0.00","0.0","0.0",,"83","51","  230","  220","13.0","17.0",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-26","4.25",,"0.00","0.0","0.0",,"84","56","  230","  230","17.0","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-27","2.91",,"0.00","0.0","0.0",,"83","53","  150","  150","14.1","19.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-28","7.61",,"0.00","0.0","0.0",,"81","60","  250","  230","19.9","25.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-29","8.72",,"0.00","0.0","0.0",,"69","54","  240","  270","17.0","27.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-30","3.13",,"0.00","0.0","0.0",,"67","51","  240","  230","12.1","19.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-03-31","4.92",,"0.00","0.0","0.0",,"71","47","  250","  250","13.0","18.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-01","3.36",,"0.00","0.0","0.0",,"77","52","  140","  160","10.1","14.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-02","3.58",,"0.00","0.0","0.0",,"82","53","  220","  170","8.9","14.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-03","2.24",,"0.00","0.0","0.0",,"87","56","  200","  200","10.1","14.1",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-04","2.24",,"0.00","0.0","0.0",,"90","55","  240","  200","15.0","21.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-05","2.01",,"0.00","0.0","0.0",,"90","58","  250","  270","10.1","16.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-06","5.59",,"0.00","0.0","0.0",,"97","66","   50","   50","18.1","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-07","4.47",,"0.00","0.0","0.0",,"89","68","  250","  250","19.9","25.9",,,,,"    1"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-08","5.82",,"0.27","0.0","0.0",,"80","61","   50","  200","18.1","23.0","    1",,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-09","4.25",,"0.00","0.0","0.0",,"79","62","  190","  210","13.0","19.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-10","3.80",,"0.20","0.0","0.0",,"70","55","  240","  240","25.9","36.0","    1",,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-11","2.24",,"0.00","0.0","0.0",,"76","53","  100","  120","12.1","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-12","2.68",,"0.00","0.0","0.0",,"80","57","  240","  250","12.1","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-13","2.01",,"0.00","0.0","0.0",,"85","60","  230","  240","12.1","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-14","4.92",,"0.00","0.0","0.0",,"87","60","  240","  240","17.0","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-15","8.95",,"0.00","0.0","0.0",,"80","61","  260","  250","30.0","40.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-16","5.82",,"0.00","0.0","0.0",,"80","55","  260","  260","17.0","21.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-17","7.61",,"0.00","0.0","0.0",,"81","64","   30","   40","18.1","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-18","5.14",,"0.00","0.0","0.0",,"84","58","  290","  270","15.0","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-19","2.68",,"0.00","0.0","0.0",,"89","58","  260","  220","13.0","19.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-04-20","3.36",,"0.00","0.0","0.0",,"92","61","  250","  230","12.1","17.0",,,,,
